IGN,Face,Eye,Ear,Ring 1,Ring 2,Ring 3,Ring 4,Pendant 1,Pendant 2,Belt,Badge,Medal,Android,Heart
My2ndDarkKn,,,,,,,,,,,,,,Fairy
My2ndAngelic,,,,,,,,,,,,,,Lidium
My2ndBishop,,,,,,,,,,,,,,Lidium
My2ndSniper,,,,,,,,,,,,,,Lidium
thanhbinh5,,,,,,,,,,,,,,Lidium
My2ndShade,,,,,,,,,,,,,,Lidium
My2ndHero,,,,,,,,,,,,,,Lidium
My2ndRanger,,,,,,,,,,,,,,Lidium
My2ndMikhail,,,,,,,,,,,,,,Lidium
My2ndWA,,,,,,,,,,,,,,Fairy
My2ndPaladin,,,,,,,,,,,,,,Lidium
My2ndPF,,,,,,,,,,,,,,
My2ndKhali,,,,,,,,,,,,,,Lidium
My2ndMoXuan,,,,,,,,,,,,,,Lidium
My3rdPhantom,,,,,,,,,,,,,,
My2ndSia
My2ndLumin,,,,,,,,,,,,,,
thanhbinh6,,,,,,,,,,,,,,
M2AMercedes,,,,,,,,,,,,,,
My2ndLara,,,,,,,,,,,,,,Lidium
My2ndHoyoung,,,,,,,,,,,,,,Lidium
My2ndZero,,,,,,,,,,,,,,
My2ndDW,,,,,,,,,,,,,,Lidium
My2ndBW,,,,,,,,,,,,,,Lidium
My2ndNW,,,,,,,,,,,,,,
My2ndStriker,,,,,,,,,,,,,,
My2ndFPMage,,,,,,,,,,,,,,
My2ndIL,,,,,,,,,,,,,,
My2ndDBlader,,,,,,,,,,,,,,
My2ndNL,,,,,,,,,,,,,,
My2ndShadow,,,,,,,,,,,,,,
My2ndBucc,,,,,,,,,,,,,,
My2ndCorsair,,,,,,,,,,,,,,
My3rdCannon,,,,,,,,,,,,,,Lidium
My2ndAdele,,,,,,,,,,,,,,
My2ndIllium,,,,,,,,,,,,,,Lidium
My2ndArk,,,,,,,,,,,,,,Lidium
My2ndKine,,,,,,,,,,,,,,
My2ndBT,,,,,,,,,,,,,,Lidium
My3rdKaiser,,,,,,,,,,,,,,Lidium
My2ndKain,,,,,,,,,,,,,,
My3rdCadena,,,,,,,,,,,,,,
My2ndBlaster,,,,,,,,,,,,,,
My2ndDA,,,,,,,,,,,,,,
My2ndDS,,,,,,,,,,,,,,
thanhbinh15,,,,,,,,,,,,,,
Wild01Hunter,,,,,,,,,,,,,,Lidium
My2ndXenon,,,,,,,,,,,,,,Fairy
My2ndMech,,,,,,,,,,,,,,
My2ndHayato,,,,,,,,,,,,,,
My2ndKanna,,,,,,,,,,,,,,
